URL,Status,HTTP_Code,Response_Time_ms,Redirect_URL,Notes
"https://5starconcierge.com/","LIVE","200","156","","OK"
"https://advantageins.com/","LIVE","200","841","","OK"
"https://aicinsagency.com/","LIVE","200","467","","OK"
"https://artmcghehey.com/","LIVE","200","825","","OK"
"https://avelloemortgage.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://benmondragon.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://brooksops.com/","LIVE","200","483","","OK"
"https://brotherscleaning.com/","LIVE","200","704","","OK"
"https://cambriatrent.com/","CLIENT_ERROR","403","358","","Client error"
"https://carterstrategy.com/","LIVE","200","692","","OK"
"https://chinookmortgage.com/","LIVE","200","716","","OK"
"https://clintlewis.com/","LIVE","200","1946","","OK"
"https://crosscountrymortgage.com/","LIVE","200","221","","OK"
"https://dangandee.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://danoffet.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://dcfinehomesre.com/","LIVE","200","617","","OK"
"https://dixsonmischel.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://eikeinsurance.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://ellismarketing.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 28)"
"https://erinjerniganins.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://eugenemortgagebrokers.com/","LIVE","200","747","","OK"
"https://eugenesalternative.com/","LIVE","200","706","","OK"
"https://eugenetaxservice.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://financeofamerica.com/","LIVE","200","759","","OK"
"https://fosterops.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 28)"
"https://fromdayonehr.com/","LIVE","200","714","","OK"
"https://halestrategy.com/","CLIENT_ERROR","404","1050","","Client error"
"https://heinrichlaw.com/","CLIENT_ERROR","403","175","","Client error"
"https://islercpa.com/","LIVE","200","384","","OK"
"https://jessicafieldsre.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://jessicajohnstonre.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://johnsonadvisors.com/","LIVE","200","243","","OK"
"https://justdoinsurance.com/","LIVE","200","274","","OK"
"https://katiejuth.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://keystonere.com/","LIVE","200","2593","","OK"
"https://kimmarketing.co/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://landhomefinancial.com/","LIVE","200","483","","OK"
"https://ledouxinsurance.com/","LIVE","200","618","","OK"
"https://leemgmt.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 60)"
"https://lg-lg.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 28)"
"https://littlejohnins.com/","LIVE","200","567","","OK"
"https://lorigalvin.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://mckenziefunding.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://melissahillsman.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://miriams-oasis.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://moralesmgmt.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://mortgagemarketplace.com/","LIVE","200","288","","OK"
"https://nguyenstrategy.com/","LIVE","200","810","","OK"
"https://oregontracktown.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://osborneconsulting.com/","LIVE","200","920","","OK"
"https://paramountmortgagecompany.com","LIVE","200","852","","OK"
"https://patelhr.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://patstitt.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://polariscpa.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 35)"
"https://rebeccataylorcomm.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://riveramarketing.com/","CLIENT_ERROR","403","1346","","Client error"
"https://rrpropertieseugene.com/","FAIL","N/A","N/A","","Connection failed (curl exit code: 6)"
"https://ruizhr.com/","LIVE","200","272","","OK"
"https://shotolahale.wixsite.com/shotola-and-hale","LIVE","200","221","","OK"
